word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
easy,big,dissimilar,similar,neutral,dissimilar,dissimilar,very dissimilar,dissimilar,similar,dissimilar,neutral,dissimilar,similar,dissimilar,dissimilar,similar
great,awful,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,very dissimilar,similar,dissimilar,very dissimilar,dissimilar,similar,neutral,very dissimilar,dissimilar
tiny,huge,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,dissimilar,similar,similar,similar,similar
polite,proper,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
modest,ashamed,dissimilar,dissimilar,dissimilar,similar,dissimilar,dissimilar,very similar,similar,neutral,dissimilar,dissimilar,similar,similar,similar,similar
exotic,rare,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar,similar,very similar,similar,similar,very similar
dumb,clever,dissimilar,similar,similar,similar,similar,dissimilar,dissimilar,similar,neutral,similar,dissimilar,very similar,dissimilar,similar,dissimilar
delightful,wonderful,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,very similar,similar,similar,similar
noticeable,obvious,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar
afraid,anxious,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar
formal,proper,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar
dreary,dull,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,very similar,similar,similar,similar
delightful,cheerful,dissimilar,similar,dissimilar,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar
unhappy,mad,similar,similar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,similar,dissimilar,neutral,dissimilar,very similar,similar,similar,dissimilar
sad,terrible,similar,similar,similar,similar,dissimilar,similar,very dissimilar,similar,similar,similar,dissimilar,very similar,similar,similar,similar
sick,crazy,similar,similar,similar,similar,similar,dissimilar,dissimilar,similar,similar,similar,dissimilar,very similar,similar,similar,similar
violent,angry,dissimilar,similar,neutral,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar
laden,heavy,similar,similar,similar,dissimilar,similar,similar,dissimilar,similar,similar,similar,similar,very similar,neutral,similar,similar
dirty,cheap,similar,similar,similar,dissimilar,similar,dissimilar,very dissimilar,dissimilar,dissimilar,similar,similar,very similar,dissimilar,similar,dissimilar
elastic,flexible,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,very similar,similar,similar,similar
hard,dense,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,very similar
recent,new,similar,similar,similar,similar,similar,similar,similar,dissimilar,very dissimilar,similar,similar,very similar,similar,similar,very similar
bold,proud,dissimilar,dissimilar,neutral,dissimilar,dissimilar,neutral,very dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
sly,strange,dissimilar,dissimilar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,similar,dissimilar,dissimilar
strange,sly,dissimilar,dissimilar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,very dissimilar,dissimilar,similar,dissimilar,dissimilar
dumb,rare,neutral,dissimilar,neutral,dissimilar,dissimilar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,neutral,neutral
sly,tough,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
terrific,mad,dissimilar,dissimilar,similar,neutral,dissimilar,similar,similar,dissimilar,dissimilar,dissimilar,similar,dissimilar,similar,neutral,dissimilar
modest,flexible,dissimilar,dissimilar,neutral,similar,neutral,dissimilar,similar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,similar,dissimilar,dissimilar
fresh,wide,similar,dissimilar,similar,similar,neutral,similar,similar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,similar,dissimilar,dissimilar
huge,dumb,dissimilar,neutral,neutral,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,dissimilar,similar,dissimilar
large,flexible,similar,similar,neutral,similar,neutral,similar,similar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,similar,dissimilar,dissimilar
dirty,narrow,dissimilar,similar,similar,dissimilar,dissimilar,dissimilar,similar,dissimilar,similar,dissimilar,dissimilar,dissimilar,similar,dissimilar,dissimilar
wife,husband,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,similar,neutral,very similar,very similar,very similar,very similar,very similar
book,text,dissimilar,dissimilar,similar,dissimilar,dissimilar,dissimilar,neutral,dissimilar,similar,neutral,neutral,dissimilar,dissimilar,dissimilar,dissimilar
groom,bride,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,similar,neutral,very similar,very similar,very similar,very similar,very similar
night,day,very dissimilar,very dissimilar,very dissimilar,dissimilar,dissimilar,very dissimilar,neutral,dissimilar,similar,neutral,very similar,very dissimilar,very dissimilar,very dissimilar,dissimilar
south,north,very similar,very similar,very similar,very similar,opposite,very similar,very similar,very similar,similar,neutral,very similar,very similar,very dissimilar,very similar,very similar
plane,airport,dissimilar,very dissimilar,very dissimilar,dissimilar,neutral,dissimilar,dissimilar,dissimilar,similar,neutral,similar,dissimilar,dissimilar,dissimilar,dissimilar
uncle,aunt,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,similar,neutral,very similar,very similar,very similar,very similar,very similar
horse,mare,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,similar,neutral,very similar,very similar,very similar,very similar,very similar
bottom,top,very dissimilar,similar,very similar,very similar,opposite,very dissimilar,very similar,very similar,similar,neutral,very similar,very dissimilar,very dissimilar,very dissimilar,very similar
friend,buddy,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,similar,neutral,very similar,very similar,very similar,very similar,very similar
student,pupil,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,similar,neutral,very similar,very similar,very similar,very similar,very similar
world,globe,similar,similar,very similar,very similar,similar,dissimilar,very similar,dissimilar,similar,neutral,similar,very similar,similar,similar,similar
leg,arm,very similar,similar,very similar,similar,similar,very similar,very similar,very similar,similar,neutral,very similar,very similar,similar,very similar,very similar
plane,jet,similar,similar,very dissimilar,dissimilar,similar,dissimilar,dissimilar,dissimilar,similar,neutral,similar,dissimilar,dissimilar,dissimilar,dissimilar
woman,man,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,neutral,very similar,very similar,very similar,very similar,very similar
horse,colt,similar,very similar,very similar,similar,very similar,very similar,very similar,very similar,very similar,neutral,similar,very similar,similar,very similar,very similar
actress,actor,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,neutral,very similar,very similar,very similar,very similar,very similar
teacher,instructor,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,neutral,very similar,very similar,very similar,very similar,very similar
movie,film,very similar,very similar,very similar,very similar,similar,very similar,very similar,very similar,very similar,neutral,very similar,very similar,very similar,very similar,very similar
bird,hawk,similar,dissimilar,similar,neutral,dissimilar,very similar,similar,dissimilar,very similar,neutral,dissimilar,similar,dissimilar,dissimilar,similar
word,dictionary,dissimilar,similar,similar,similar,dissimilar,dissimilar,similar,dissimilar,very similar,neutral,dissimilar,similar,similar,dissimilar,dissimilar
money,salary,similar,similar,very similar,similar,similar,similar,similar,dissimilar,very similar,neutral,dissimilar,similar,similar,very similar,similar
dog,cat,similar,very similar,very dissimilar,similar,dissimilar,very similar,similar,very similar,very similar,neutral,dissimilar,very similar,very dissimilar,very similar,similar
area,region,similar,similar,very similar,very similar,similar,similar,very similar,very similar,very similar,neutral,similar,very similar,similar,very similar,similar
navy,army,similar,very similar,very dissimilar,very similar,similar,very dissimilar,very similar,very similar,very similar,neutral,similar,very similar,very dissimilar,very similar,similar
book,literature,similar,similar,similar,similar,similar,similar,similar,very similar,very similar,neutral,similar,similar,similar,dissimilar,similar
clothes,closet,very similar,very similar,similar,similar,similar,very similar,similar,very similar,very similar,neutral,very similar,very similar,similar,dissimilar,very similar
sunset,sunrise,very dissimilar,very similar,very similar,very similar,opposite,very similar,very similar,very similar,very similar,neutral,very similar,very similar,similar,very similar,very similar
child,adult,similar,very dissimilar,very dissimilar,similar,dissimilar,very dissimilar,very similar,very similar,very similar,neutral,similar,very similar,similar,very dissimilar,similar
cow,cattle,similar,very similar,very similar,very similar,similar,very similar,very similar,very similar,very similar,neutral,very similar,very similar,very similar,very similar,similar
book,story,similar,similar,similar,similar,similar,similar,similar,very similar,very similar,neutral,similar,similar,similar,dissimilar,similar
winter,summer,similar,very dissimilar,very dissimilar,neutral,opposite,very dissimilar,neutral,very similar,very similar,neutral,dissimilar,very dissimilar,very dissimilar,very dissimilar,similar
taxi,cab,very similar,very similar,very similar,similar,very similar,very similar,similar,very similar,very similar,neutral,very similar,very similar,similar,very similar,very similar
tree,maple,similar,dissimilar,very dissimilar,similar,neutral,very dissimilar,similar,dissimilar,very similar,neutral,dissimilar,dissimilar,similar,dissimilar,similar
bed,bedroom,very similar,similar,very similar,very similar,similar,very similar,similar,very similar,very similar,neutral,very similar,very similar,similar,very similar,similar
roof,ceiling,very similar,similar,very similar,similar,similar,similar,very similar,very similar,very similar,neutral,similar,very similar,similar,very similar,similar
disease,infection,very similar,very similar,similar,similar,similar,very similar,very similar,very similar,very similar,neutral,similar,very similar,similar,similar,similar
arm,shoulder,very similar,very similar,very similar,similar,similar,very similar,very similar,very similar,very similar,neutral,very similar,very similar,similar,very similar,very similar
sheep,lamb,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,very similar,neutral,very similar,very similar,very similar,very similar,very similar
lady,gentleman,dissimilar,neutral,similar,similar,similar,neutral,neutral,dissimilar,neutral,similar,neutral,neutral,similar,neutral,neutral
boat,anchor,neutral,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,very dissimilar,neutral,dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,dissimilar
priest,monk,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar
toe,finger,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
river,stream,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
anger,fury,similar,similar,similar,similar,similar,very similar,similar,similar,very similar,similar,similar,similar,very similar,similar,very similar
date,calendar,similar,similar,dissimilar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
sea,ocean,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,very similar
second,minute,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
hand,thumb,dissimilar,dissimilar,similar,dissimilar,similar,very dissimilar,dissimilar,dissimilar,dissimilar,similar,dissimilar,dissimilar,dissimilar,neutral,dissimilar
wood,log,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
mud,dirt,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,very similar,similar,very similar
hallway,corridor,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar
way,manner,similar,similar,dissimilar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar
mouse,cat,dissimilar,similar,dissimilar,different,similar,dissimilar,dissimilar,similar,similar,dissimilar,similar,similar,similar,dissimilar,dissimilar
cop,sheriff,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar
death,burial,similar,similar,similar,similar,similar,dissimilar,similar,similar,very similar,similar,similar,similar,similar,similar,similar
music,melody,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,very similar
beer,alcohol,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar
mouth,lip,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
storm,hurricane,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar
tax,income,similar,dissimilar,dissimilar,similar,similar,similar,similar,similar,dissimilar,similar,similar,similar,similar,neutral,dissimilar
flower,violet,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar,similar,similar,similar
paper,cardboard,similar,similar,similar,similar,similar,dissimilar,similar,similar,similar,similar,dissimilar,similar,similar,similar,similar
floor,ceiling,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar,similar,dissimilar,dissimilar
beach,seashore,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,very similar
rod,curtain,similar,dissimilar,dissimilar,similar,dissimilar,dissimilar,similar,similar,dissimilar,similar,similar,similar,dissimilar,dissimilar,dissimilar
hound,fox,similar,similar,similar,similar,similar,dissimilar,similar,similar,similar,similar,similar,similar,similar,similar,similar
street,alley,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
boat,deck,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar
car,horn,similar,similar,dissimilar,different,similar,neutral,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar
friend,guest,neutral,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
employer,employee,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
hand,wrist,similar,dissimilar,similar,similar,similar,dissimilar,dissimilar,similar,similar,similar,dissimilar,similar,similar,similar,dissimilar
ball,cannon,similar,similar,dissimilar,similar,similar,dissimilar,dissimilar,similar,dissimilar,similar,dissimilar,similar,dissimilar,dissimilar,dissimilar
alcohol,brandy,similar,similar,similar,similar,similar,very similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar
victory,triumph,similar,similar,similar,similar,similar,dissimilar,similar,similar,similar,similar,similar,similar,very similar,similar,very similar
telephone,booth,similar,similar,dissimilar,similar,similar,dissimilar,similar,similar,similar,similar,dissimilar,similar,similar,similar,similar
door,doorway,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,dissimilar,similar
motel,inn,neutral,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
clothes,cloth,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
steak,meat,similar,similar,similar,similar,similar,similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar
nail,thumb,similar,dissimilar,similar,similar,similar,dissimilar,similar,dissimilar,dissimilar,similar,dissimilar,similar,similar,dissimilar,dissimilar
band,orchestra,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
book,bible,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,very similar
business,industry,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
winter,season,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
decade,century,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
alcohol,gin,similar,similar,similar,similar,similar,very similar,similar,similar,very similar,similar,similar,similar,similar,similar,similar
hat,coat,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar,similar
window,door,similar,dissimilar,dissimilar,dissimilar,dissimilar,dissimilar,similar,dissimilar,dissimilar,very dissimilar,dissimilar,dissimilar,dissimilar,similar,dissimilar
arm,wrist,similar,similar,similar,similar,similar,similar,dissimilar,similar,similar,dissimilar,similar,similar,similar,very similar,similar
