word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
breed,smal,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,neutraal,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk
makkelijk,moeilijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk
moeilijk,gemakkelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,gelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk
slim,dom,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk
krankzinnig,gek,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
gelukkig,kwaad,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk
uitgebreid,groot,gelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,neutraal,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,zeer ongelijk,gelijk,ongelijk
moeilijk,simpel,neutraal,ongelijk,neutraal,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk
nieuw,vers,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk,zeer gelijk,neutraal
scherp,saai,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk
vlug,snel,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,neutraal,gelijk,ongelijk,gelijk,gelijk,ongelijk,neutraal,gelijk,gelijk
dom,dwaas,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk
prachtig,fantastisch,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk
eigenaardig,vreemd,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
gelukkig,boos,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk
smal,breed,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,neutraal,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk
eenvoudig,gemakkelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,ongelijk,gelijk,gelijk,gelijk
oud,vers,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,neutraal
kennelijk,duidelijk,neutraal,gelijk,zeer ongelijk,ongelijk,ongelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,neutraal
betaalbaar,goedkoop,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
leuk,grootmoedig,zeer ongelijk,zeer ongelijk,neutraal,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,neutraal,zeer ongelijk,zeer ongelijk,ongelijk
raar,vreemd,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
vreemd,normaal,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer gelijk,zeer ongelijk
slecht,immoreel,gelijk,gelijk,ongelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk
verdrietig,grappig,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk
prachtig,geweldig,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,zeer gelijk,gelijk,gelijk,zeer gelijk,zeer gelijk
schuldig,beschaamd,neutraal,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
mooi,prachtig,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,neutraal,gelijk,gelijk
zelfverzekerd,zeker,ongelijk,ongelijk,neutraal,ongelijk,gelijk,gelijk,neutraal,neutraal,ongelijk,gelijk,ongelijk,gelijk,neutraal,ongelijk,ongelijk
dom,onderontwikkeld,zeer gelijk,zeer gelijk,zeer ongelijk,gelijk,ongelijk,gelijk,ongelijk,zeer gelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,zeer gelijk,gelijk
groot,flexibel,ongelijk,ongelijk,ongelijk,ongelijk,neutraal,ongelijk,ongelijk,ongelijk,ongelijk,neutraal,ongelijk,neutraal,ongelijk,ongelijk,ongelijk
aardig,wreed,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk
ongeduldig,nerveus,gelijk,gelijk,zeer ongelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,neutraal,gelijk,neutraal,gelijk,gelijk
groot,breed,gelijk,ongelijk,neutraal,ongelijk,neutraal,ongelijk,gelijk,ongelijk,ongelijk,neutraal,gelijk,gelijk,neutraal,neutraal,gelijk
sterk,trots,neutraal,ongelijk,neutraal,neutraal,zeer gelijk,gelijk,gelijk,gelijk,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,neutraal,ongelijk
onnodig,noodzakelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,neutraal,ongelijk,ongelijk,zeer ongelijk,neutraal
onrustig,jong,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk
dom,intelligent,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk
slecht,geweldig,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk
moeilijk,eenvoudig,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk
noodzakelijk,belangrijk,gelijk,gelijk,ongelijk,gelijk,gelijk,ongelijk,neutraal,gelijk,gelijk,neutraal,ongelijk,neutraal,gelijk,ongelijk,neutraal
slecht,verschrikkelijk,zeer ongelijk,ongelijk,ongelijk,gelijk,zeer gelijk,ongelijk,ongelijk,ongelijk,gelijk,zeer gelijk,gelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk
boos,blij,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk
eerlijk,schuldig,zeer ongelijk,ongelijk,ongelijk,gelijk,gelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,neutraal,zeer ongelijk
makkelijk,zwaar,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk
makkelijk,flexibel,ongelijk,ongelijk,ongelijk,gelijk,zeer ongelijk,gelijk,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,ongelijk
stellig,zeker,gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
essentieel,noodzakelijk,gelijk,ongelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk
anders,normaal,zeer gelijk,zeer ongelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,neutraal,neutraal,gelijk,gelijk,ongelijk
sluw,slim,neutraal,ongelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,neutraal,gelijk,ongelijk,ongelijk
cruciaal,belangrijk,gelijk,ongelijk,ongelijk,zeer ongelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,neutraal,neutraal,ongelijk,gelijk
hard,wreed,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk
kinderachtig,dwaas,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk
zelden,zeldzaam,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk
vriendelijk,vrijgevig,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk
breekbaar,kil,gelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk
lang,smal,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk
groot,zwaar,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,zeer ongelijk,neutraal,ongelijk,ongelijk,ongelijk,ongelijk,gelijk
ruw,koel,neutraal,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,neutraal,ongelijk
bizar,vreemd,neutraal,zeer gelijk,zeer gelijk,zeer gelijk,neutraal,gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk
illegaal,immoreel,zeer gelijk,gelijk,zeer gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk
slecht,schuldig,gelijk,zeer gelijk,gelijk,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,zeer gelijk,ongelijk,gelijk,gelijk,ongelijk,gelijk,ongelijk
modern,oud,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk
nieuw,oud,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk
saai,grappig,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk
gelukkig,jong,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,neutraal,ongelijk
makkelijk,groot,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,gelijk,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk
geweldig,vreselijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk
klein,enorm,ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk
beleefd,gepast,gelijk,gelijk,ongelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,zeer gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk
bescheiden,beschaamd,gelijk,gelijk,ongelijk,zeer gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,zeer gelijk,ongelijk,gelijk,gelijk
exotisch,zeldzaam,gelijk,ongelijk,ongelijk,ongelijk,neutraal,ongelijk,gelijk,gelijk,ongelijk,gelijk,ongelijk,ongelijk,gelijk,neutraal,gelijk
dom,slim,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk
heerlijk,prachtig,gelijk,gelijk,ongelijk,zeer gelijk,gelijk,ongelijk,gelijk,gelijk,ongelijk,ongelijk,gelijk,gelijk,ongelijk,zeer gelijk,gelijk
opvallend,duidelijk,ongelijk,gelijk,ongelijk,ongelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,ongelijk,zeer gelijk,zeer gelijk,ongelijk,zeer gelijk
angstig,bang,gelijk,zeer gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,zeer gelijk,zeer gelijk,gelijk,gelijk,zeer gelijk,zeer gelijk
formeel,juist,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,gelijk,ongelijk,gelijk,gelijk
somber,saai,ongelijk,ongelijk,ongelijk,gelijk,gelijk,gelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,gelijk
heerlijk,vrolijk,zeer ongelijk,ongelijk,ongelijk,zeer gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
ongelukkig,kwaad,ongelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,ongelijk,gelijk,zeer gelijk,zeer gelijk,gelijk
verdrietig,vreselijk,gelijk,zeer gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,ongelijk,ongelijk,gelijk,zeer gelijk,neutraal,gelijk
ziek,gek,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
gewelddadig,boos,gelijk,zeer gelijk,ongelijk,ongelijk,gelijk,gelijk,gelijk,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
beladen,zwaar,zeer gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,ongelijk
vuil,goedkoop,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,zeer gelijk,ongelijk,gelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk
elastisch,flexibel,zeer gelijk,ongelijk,gelijk,zeer gelijk,gelijk,gelijk,zeer gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk
hard,dicht,zeer gelijk,ongelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,gelijk,zeer gelijk,ongelijk,ongelijk,gelijk,ongelijk,zeer gelijk,ongelijk
onlangs,nieuw,zeer ongelijk,zeer gelijk,ongelijk,zeer gelijk,ongelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,zeer ongelijk,gelijk,gelijk,gelijk,gelijk
brutaal,trots,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,neutraal,ongelijk
sluw,vreemd,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,gelijk,gelijk,ongelijk,ongelijk,ongelijk
vreemd,sluw,ongelijk,ongelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,zeer gelijk,ongelijk,gelijk,gelijk,ongelijk,ongelijk,ongelijk
dom,zeldzaam,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,gelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk
sluw,koppig,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk,zeer ongelijk
fantastisch,kwaad,zeer ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
bescheiden,flexibel,gelijk,ongelijk,neutraal,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,neutraal,neutraal,ongelijk,ongelijk,neutraal,neutraal
vers,breed,ongelijk,ongelijk,ongelijk,neutraal,neutraal,ongelijk,ongelijk,neutraal,neutraal,neutraal,ongelijk,ongelijk,neutraal,neutraal,ongelijk
enorm,sprakeloos,neutraal,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk
groot,enorm,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk,gelijk
vuil,smal,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
echtgenote,echtgenoot,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
boek,tekst,neutraal,ongelijk,neutraal,ongelijk,neutraal,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,neutraal,neutraal,ongelijk
bruidegom,bruid,gelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,neutraal,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
nacht,dag,ongelijk,ongelijk,gelijk,ongelijk,neutraal,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
zuid,noord,gelijk,gelijk,gelijk,gelijk,gelijk,ongelijk,ongelijk,zeer gelijk,zeer ongelijk,ongelijk,gelijk,gelijk,ongelijk,ongelijk,ongelijk
vliegtuig,luchthaven,ongelijk,zeer ongelijk,ongelijk,ongelijk,zeer ongelijk,neutraal,ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer ongelijk,ongelijk,neutraal,ongelijk,ongelijk
oom,tante,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
paard,merrie,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,neutraal,zeer gelijk,gelijk,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk
onderkant,bovenkant,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,zeer gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
vriend,maat,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk
student,leerling,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,zeer gelijk,gelijk
wereld,wereldbol,ongelijk,gelijk,gelijk,zeer gelijk,gelijk,gelijk,zeer gelijk,neutraal,zeer gelijk,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk
been,arm,ongelijk,ongelijk,gelijk,ongelijk,ongelijk,ongelijk,ongelijk,neutraal,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
vliegtuig,straalvliegtuig,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,neutraal,zeer gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
vrouw,man,gelijk,ongelijk,gelijk,gelijk,gelijk,gelijk,zeer ongelijk,zeer gelijk,gelijk,ongelijk,gelijk,gelijk,ongelijk,zeer gelijk,gelijk
paard,veulen,gelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,gelijk,ongelijk,zeer gelijk,ongelijk,gelijk,ongelijk,ongelijk,gelijk,ongelijk,ongelijk
actrice,acteur,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer ongelijk,gelijk,gelijk,gelijk,gelijk,gelijk,gelijk,zeer gelijk,gelijk
leraar,instructeur,gelijk,gelijk,gelijk,ongelijk,ongelijk,gelijk,zeer gelijk,neutraal,gelijk,ongelijk,gelijk,gelijk,neutraal,gelijk,gelijk
film,filmrol,neutraal,ongelijk,neutraal,ongelijk,gelijk,ongelijk,zeer gelijk,gelijk,ongelijk,neutraal,ongelijk,neutraal,gelijk,neutraal,ongelijk
vogel,havik,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
woord,woordenboek,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,ongelijk,zeer gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,neutraal,ongelijk,ongelijk
geld,salaris,neutraal,ongelijk,neutraal,ongelijk,ongelijk,ongelijk,neutraal,ongelijk,neutraal,neutraal,neutraal,ongelijk,neutraal,ongelijk,ongelijk
hond,kat,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,zeer ongelijk,zeer gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
gebied,regio,gelijk,gelijk,neutraal,gelijk,gelijk,gelijk,neutraal,gelijk,gelijk,neutraal,zeer gelijk,gelijk,gelijk,gelijk,gelijk
marine,leger,gelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk,ongelijk
