word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
raar,vreemd,9.0,8.5,8.5,9.5,9.0,9.5,8.5,8.5,9.0,9.0,8.5,8.5,8.5,8.5,8.5
vreemd,normaal,1.8,1.2,1.0,1.43,1.2,1.2,1.2,1.2,0.2,1.14,1.2,1.23,1.25,0.1,1.23
slecht,immoreel,6.57,7.8,8.5,6.25,8.5,8.75,8.55,7.5,6.86,6.54,7.5,8.5,7.5,8.0,9.5
verdrietig,grappig,0.25,0.05,0.35,1.2,0.1,1.2,1.2,1.2,0.1,0.1,1.2,1.2,0.0,0.0,0.1
prachtig,geweldig,8.5,8.5,8.5,8.75,8.5,9.0,8.5,8.5,7.8,8.5,8.0,8.5,8.5,8.5,8.75
schuldig,beschaamd,6.25,0.0,7.5,6.25,6.25,4.5,6.5,6.25,6.25,6.25,6.25,0.2,6.0,3.21,6.5
mooi,prachtig,9.0,9.5,9.5,9.5,9.0,9.75,9.5,9.0,9.0,9.5,9.5,9.5,9.8,8.5,9.5
zelfverzekerd,zeker,7.5,7.5,7.5,8.5,7.5,8.5,7.5,8.5,8.5,7.5,9.0,7.0,8.5,7.65,7.5
dom,onderontwikkeld,7.23,6.25,5.79,7.32,6.52,7.5,7.21,7.45,8.5,7.2,3.21,5.23,6.33,6.21,7.25
groot,flexibel,2.5,0.1,0.2,2.5,0.1,0.0,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.1
aardig,wreed,0.2,1.2,1.67,2.5,1.2,1.2,1.29,1.5,1.2,1.2,1.0,0.1,1.2,1.2,1.2
ongeduldig,nerveus,7.5,6.5,6.25,7.5,7.5,7.5,7.5,6.5,6.25,7.5,6.5,7.5,6.0,6.5,7.5
groot,breed,2.5,3.2,4.17,0.1,5.0,3.75,6.21,3.46,0.2,3.0,3.45,0.1,3.08,0.1,4.0
sterk,trots,0.0,2.5,2.5,2.5,2.5,0.0,1.2,0.2,0.1,2.5,1.2,0.1,2.5,0.0,0.1
onnodig,noodzakelijk,0.2,0.1,1.43,1.0,0.0,0.1,1.0,0.0,0.2,1.43,1.0,0.0,0.11,0.0,0.2
onrustig,jong,0.15,0.1,1.2,0.12,0.1,0.2,0.2,0.1,0.1,0.15,1.2,0.12,0.12,0.1,0.15
dom,intelligent,1.33,1.8,0.15,1.88,1.54,1.0,1.2,1.86,1.0,0.05,1.5,2.5,1.28,2.5,1.2
slecht,geweldig,0.1,0.0,1.2,1.2,0.0,0.0,0.1,0.15,0.0,0.1,0.01,0.05,0.1,0.1,0.11
moeilijk,eenvoudig,0.1,1.0,0.1,1.0,0.1,2.85,1.2,1.0,0.1,1.0,1.0,1.5,7.5,0.1,0.1
noodzakelijk,belangrijk,6.5,3.2,6.5,5.67,6.5,6.5,6.25,7.5,7.5,5.74,6.5,6.5,6.5,5.67,6.5
slecht,verschrikkelijk,8.5,0.81,8.7,7.6,8.5,8.5,9.0,0.8,8.5,0.8,8.5,9.5,0.85,8.5,8.6
boos,blij,1.2,0.1,0.1,2.5,1.23,1.12,2.0,2.5,0.0,2.5,2.5,1.25,2.5,1.2,2.0
eerlijk,schuldig,0.1,1.5,1.2,1.2,2.1,1.75,1.5,2.5,1.0,1.58,2.75,1.45,1.58,2.5,0.1
makkelijk,zwaar,0.2,1.14,3.78,1.8,2.33,2.5,2.5,1.2,1.9,2.36,0.17,1.8,0.17,1.82,1.28
makkelijk,flexibel,1.65,0.1,2.1,2.0,4.2,3.5,0.1,2.0,0.1,0.1,0.2,0.1,2.15,0.0,1.56
stellig,zeker,8.0,7.0,7.5,7.5,7.5,8.5,5.5,8.0,7.5,7.5,7.5,8.5,8.0,8.33,7.5
essentieel,noodzakelijk,7.5,8.5,8.5,8.5,8.5,8.5,8.5,7.5,7.8,8.5,8.5,8.5,9.5,8.5,8.5
anders,normaal,2.5,2.33,1.25,3.2,2.5,2.0,1.5,2.56,2.56,0.19,2.25,2.67,2.33,2.5,2.5
sluw,slim,7.5,6.5,4.5,6.5,7.5,6.0,4.5,6.0,5.0,5.0,6.0,6.0,7.5,6.0,6.0
cruciaal,belangrijk,6.2,7.5,8.5,5.45,6.67,7.5,7.8,6.5,7.5,7.5,7.5,7.5,7.0,6.2,6.25
hard,wreed,0.25,0.2,0.3,0.2,0.15,0.2,0.0,0.3,0.11,1.0,0.1,3.0,2.0,0.4,0.1
kinderachtig,dwaas,3.2,1.8,6.25,3.5,5.6,1.5,6.75,3.2,2.5,6.25,1.0,5.5,4.5,4.15,3.5
zelden,zeldzaam,8.0,6.67,9.0,7.5,8.5,7.5,0.0,8.0,8.5,6.0,9.0,7.0,0.6,3.33,7.5
vriendelijk,vrijgevig,6.25,0.7,6.5,5.8,7.5,6.5,8.5,6.5,4.25,7.5,6.5,6.5,0.6,6.5,7.5
breekbaar,kil,2.5,0.0,1.43,0.1,1.23,1.2,1.14,1.0,2.5,1.5,1.47,0.0,1.0,0.0,2.5
lang,smal,2.0,3.0,2.5,2.5,5.0,6.0,2.0,2.0,2.56,6.25,3.0,1.0,0.1,0.15,3.5
groot,zwaar,0.0,2.67,0.0,0.1,1.11,2.5,3.5,0.1,0.15,3.68,0.1,3.22,0.0,0.1,1.43
ruw,koel,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,3.0
bizar,vreemd,7.5,7.5,7.5,7.5,7.5,7.5,8.0,7.5,7.5,7.5,7.0,8.5,8.5,6.5,6.5
illegaal,immoreel,5.0,6.0,7.5,4.2,6.5,5.2,7.5,6.5,8.5,7.5,6.5,8.0,8.0,0.2,6.5
slecht,schuldig,6.42,6.2,6.25,3.25,7.25,3.5,6.2,6.25,5.1,5.2,6.32,3.56,6.5,4.2,3.2
modern,oud,1.0,0.1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15,1.0,1.0,0.0
nieuw,oud,1.0,1.0,1.0,3.33,0.1,0.1,1.0,0.1,0.1,0.0,1.0,0.1,0.1,2.5,1.0
saai,grappig,0.0,0.1,0.0,2.5,1.55,1.43,1.2,0.05,0.1,0.0,0.0,1.23,0.0,0.0,0.0
gelukkig,jong,0.2,0.2,0.12,0.1,0.15,0.2,0.2,0.2,0.23,0.3,0.15,0.05,0.2,0.52,0.25
makkelijk,groot,1.62,0.1,0.1,0.11,0.2,2.14,0.25,1.25,0.1,0.1,2.12,0.12,0.2,0.18,0.1
geweldig,vreselijk,0.0,1.0,1.0,0.1,2.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.5,1.0,0.0
klein,enorm,1.0,2.5,1.0,1.0,1.2,0.1,0.1,1.0,1.8,0.2,0.15,2.5,0.1,1.2,0.2
beleefd,gepast,5.5,6.5,4.2,6.5,3.57,6.67,6.5,6.2,6.5,3.0,7.2,1.5,6.5,6.33,8.5
bescheiden,beschaamd,3.5,7.5,3.5,2.5,6.0,7.5,2.5,1.0,3.5,1.43,4.0,3.5,2.5,6.5,2.5
exotisch,zeldzaam,6.5,2.5,6.25,3.25,5.0,4.0,6.2,3.0,1.54,4.5,3.25,4.5,6.5,2.86,3.5
dom,slim,1.69,2.5,2.0,2.5,2.14,1.2,2.5,2.0,2.67,1.0,2.0,0.1,2.25,2.5,1.55
heerlijk,prachtig,0.13,0.1,5.0,6.25,2.7,7.0,6.75,0.1,1.23,0.35,0.1,3.5,3.5,2.55,6.5
opvallend,duidelijk,6.5,0.0,2.56,3.4,4.12,5.0,6.25,3.82,2.34,6.25,6.25,4.2,3.4,6.25,3.25
angstig,bang,8.75,8.5,8.5,9.5,8.5,8.5,7.5,9.0,8.5,8.5,9.0,8.5,9.0,9.0,8.0
formeel,juist,3.21,2.5,0.3,0.0,0.2,0.2,0.1,0.1,0.0,0.1,1.43,3.2,2.1,2.5,0.1
somber,saai,6.5,6.5,7.5,6.5,0.3,7.0,6.0,6.25,6.25,0.1,0.4,6.25,7.2,6.2,7.0
heerlijk,vrolijk,0.06,0.29,0.25,0.1,0.2,0.33,0.2,0.15,0.3,0.21,0.15,0.1,0.25,0.3,0.21
ongelukkig,kwaad,3.63,3.22,7.0,0.34,3.45,5.05,0.23,3.5,1.75,6.5,4.5,4.2,6.25,3.25,5.3
verdrietig,vreselijk,7.8,6.25,3.12,6.32,2.55,4.08,7.2,7.6,3.25,6.5,6.5,6.12,3.43,7.3,7.5
ziek,gek,6.25,5.0,2.5,7.5,6.23,6.5,0.2,7.6,2.5,3.2,2.5,3.7,1.2,0.2,4.2
gewelddadig,boos,7.5,5.4,4.5,3.5,5.5,4.25,5.4,5.2,6.25,6.25,5.6,6.25,7.2,3.25,5.2
beladen,zwaar,6.67,7.5,8.5,7.5,6.8,6.66,6.25,4.5,6.5,8.5,6.25,7.5,6.75,6.67,5.18
vuil,goedkoop,0.1,1.4,0.1,0.1,0.05,2.5,1.5,0.14,0.1,1.2,2.5,0.1,0.12,0.1,2.0
elastisch,flexibel,8.5,9.5,8.5,8.5,8.5,8.5,7.5,8.5,8.5,8.5,8.5,8.5,7.5,9.0,8.5
hard,dicht,1.2,0.15,0.0,0.0,1.25,2.85,0.0,0.0,0.0,0.0,1.5,0.1,2.58,2.0,1.69
onlangs,nieuw,2.5,0.2,2.0,2.5,2.0,2.5,3.15,2.5,2.0,1.2,2.5,2.5,1.2,0.2,0.1
brutaal,trots,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.11,0.1,0.1,0.15,0.05
sluw,vreemd,0.0,0.11,0.0,0.0,0.2,0.1,0.0,0.1,0.1,2.33,0.13,0.11,0.14,0.1,0.0
vreemd,sluw,0.21,0.05,0.1,0.12,2.56,0.01,1.23,0.0,0.12,0.14,0.14,0.12,0.1,0.29,0.1
dom,zeldzaam,0.0,0.0,1.2,0.14,0.05,0.0,0.1,0.05,0.0,0.0,1.23,0.0,0.0,0.0,0.1
sluw,koppig,0.1,2.5,0.2,0.1,0.2,0.1,0.11,0.0,0.1,1.25,0.2,0.1,0.2,0.1,0.1
fantastisch,kwaad,0.1,1.4,0.1,0.1,1.55,2.8,1.2,0.2,1.23,0.0,0.11,0.0,1.56,1.54,0.43
bescheiden,flexibel,0.1,0.12,0.2,0.01,0.0,0.1,0.0,0.1,0.1,0.2,0.0,0.2,0.1,0.1,0.1
vers,breed,0.0,0.1,2.14,1.2,0.0,2.4,0.0,0.1,1.43,0.0,0.0,0.1,1.2,1.42,2.5
enorm,sprakeloos,0.05,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
groot,enorm,7.5,8.5,8.5,8.5,9.8,8.5,8.5,8.5,7.5,8.5,8.5,8.5,8.5,8.5,8.5
vuil,smal,0.0,1.2,0.0,0.02,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.2,1.2
echtgenote,echtgenoot,9.5,9.75,9.8,9.8,9.8,9.8,9.5,9.8,9.5,9.5,9.75,9.8,9.5,9.8,9.5
boek,tekst,3.2,2.55,2.85,2.5,2.75,2.5,3.25,2.36,2.53,2.55,3.25,0.42,3.52,2.75,2.38
bruidegom,bruid,9.8,9.5,9.5,9.5,9.0,9.5,9.0,9.34,7.8,9.5,9.75,9.75,9.5,9.0,9.0
nacht,dag,1.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.1,0.2,0.0,0.0,0.0,0.1,1.0
zuid,noord,9.0,9.5,9.5,9.0,8.0,9.5,9.0,9.0,8.0,0.0,9.0,9.5,9.0,9.0,0.0
vliegtuig,luchthaven,7.8,3.5,7.2,6.75,6.75,8.5,6.75,6.2,7.2,6.25,3.2,2.5,7.8,7.2,8.2
oom,tante,3.56,7.5,7.5,8.5,7.5,8.5,7.5,4.5,8.0,8.5,0.2,0.1,9.1,2.5,7.5
paard,merrie,9.5,9.5,9.0,9.0,9.5,8.5,9.5,9.0,9.5,9.0,9.5,9.0,8.5,9.0,9.0
onderkant,bovenkant,9.5,9.5,9.5,9.5,9.0,9.0,9.0,9.5,9.5,9.5,9.5,9.0,9.5,9.67,8.5
vriend,maat,1.5,7.5,6.5,6.5,4.5,2.5,3.5,2.8,6.5,6.25,3.2,6.5,4.32,2.5,6.25
student,leerling,9.5,9.0,9.2,9.0,9.5,8.5,9.5,9.0,8.5,9.2,9.5,9.0,9.2,9.0,9.5
wereld,wereldbol,0.7,7.0,8.0,8.0,8.5,8.5,6.67,8.5,8.0,8.0,8.5,7.0,8.0,7.5,6.25
been,arm,3.33,2.3,0.0,2.5,2.5,2.5,2.5,1.67,2.5,1.2,1.75,0.4,2.56,1.23,2.5
vliegtuig,straalvliegtuig,8.5,0.8,0.85,8.5,8.5,8.5,8.5,8.0,8.5,9.0,8.5,8.5,9.0,0.8,0.8
vrouw,man,9.75,9.5,8.5,9.5,9.8,9.02,9.35,9.2,9.8,9.4,8.7,9.8,9.7,9.8,9.8
paard,veulen,8.5,9.2,8.75,8.5,8.5,8.5,8.5,9.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
actrice,acteur,9.5,9.5,9.5,9.5,9.8,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.8,9.5,9.75
leraar,instructeur,8.5,8.5,7.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
film,filmrol,8.5,8.5,6.5,7.5,8.56,8.5,7.5,8.5,7.85,8.5,7.5,8.56,7.0,6.5,8.5
vogel,havik,8.5,6.75,7.89,6.78,7.8,7.5,9.0,7.5,8.5,8.6,6.75,8.7,8.5,8.5,8.75
woord,woordenboek,6.25,6.29,6.0,9.0,6.56,7.5,6.36,6.33,6.5,6.78,6.65,6.3,4.08,6.17,5.67
geld,salaris,6.27,9.5,7.8,8.5,8.5,8.5,8.2,6.33,8.5,7.85,5.67,7.8,7.2,7.45,6.25
hond,kat,0.2,3.6,1.5,2.5,0.2,0.2,0.2,0.2,3.8,0.1,0.15,0.2,0.2,0.2,0.2
gebied,regio,8.5,8.5,7.5,8.5,8.5,8.5,9.0,8.5,8.5,7.5,8.5,9.0,8.5,8.5,8.5
marine,leger,1.75,6.0,0.2,3.2,3.25,0.2,5.0,2.0,2.5,1.2,1.5,2.5,6.33,3.2,6.5
boek,literatuur,8.5,8.5,8.2,8.76,7.31,7.5,7.25,8.25,8.75,8.75,7.8,7.5,7.5,7.5,7.8
kleding,kast,2.73,2.85,3.56,2.53,2.6,1.2,2.56,2.34,2.1,2.3,1.89,3.2,2.35,2.56,2.5
zonsondergang,zonsopgang,8.5,9.5,9.0,9.0,9.0,9.5,9.0,9.0,9.5,9.0,9.0,9.0,9.0,9.75,9.5
kind,volwassen,1.2,1.2,1.25,5.33,2.5,4.5,2.5,6.2,2.5,1.75,1.33,2.5,2.5,3.5,2.5
koe,vee,9.0,8.5,9.0,9.0,8.5,9.6,8.5,9.0,8.5,7.0,9.0,9.5,9.0,8.5,8.0
boek,verhaal,7.5,6.25,6.5,6.5,6.5,7.2,6.5,6.82,6.5,7.5,8.25,6.5,7.5,6.25,7.5
winter,zomer,8.75,0.1,0.2,0.2,0.1,0.1,0.1,8.5,8.5,1.25,0.1,0.2,0.1,2.7,0.1
taxi,taxis,9.0,9.5,9.0,9.8,9.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.5
boom,esdoorn,8.5,9.5,8.5,8.5,8.5,8.5,8.5,6.5,8.5,8.5,7.5,8.5,8.0,8.5,8.5
bed,slaapkamer,8.5,8.5,6.5,7.5,7.5,7.5,7.5,8.5,7.8,7.5,8.5,8.5,6.5,7.5,7.5
dak,plafond,7.5,7.5,8.0,7.5,8.5,7.5,8.5,8.0,8.2,6.5,8.0,8.5,8.5,7.5,7.5
ziekte,infectie,7.2,8.5,8.5,8.5,7.5,8.33,8.5,8.5,8.5,8.75,8.2,8.0,8.4,7.5,7.5
arm,schouder,7.5,7.5,8.0,7.0,7.5,6.25,2.5,6.7,6.2,7.5,6.12,6.25,6.75,6.45,6.25
schaap,lam,8.5,8.5,8.5,8.5,8.5,7.5,9.0,8.5,8.5,8.5,8.5,8.5,8.5,9.5,8.5
dame,meneer,1.55,0.2,0.1,6.25,8.5,0.44,7.5,6.0,6.4,3.56,7.5,0.1,7.5,1.0,7.5
boot,anker,3.56,4.0,1.43,5.5,2.56,5.0,2.16,0.15,2.25,3.2,3.25,3.67,2.5,5.23,4.0
priester,monnik,7.5,7.5,5.68,7.8,7.5,7.5,8.0,8.5,7.5,7.5,6.5,8.5,7.5,8.5,7.2
teen,vinger,2.0,8.0,6.25,6.0,5.0,8.5,7.5,6.0,5.0,4.2,7.5,2.5,6.0,8.2,2.5
rivier,stroom,7.5,8.25,7.8,8.5,8.5,8.5,7.5,8.6,8.5,8.5,8.75,7.25,8.5,7.5,8.5
boosheid,woede,9.5,9.8,9.5,9.8,9.5,9.5,9.8,9.0,9.0,9.0,9.8,9.5,9.0,9.5,9.0
datum,kalender,8.5,8.5,8.5,6.5,8.5,8.5,8.5,8.5,8.5,9.0,8.5,8.5,7.5,8.5,7.5
zee,oceaan,9.5,8.5,9.5,9.5,9.5,9.2,9.5,9.5,9.5,9.0,8.5,9.5,8.5,9.0,9.0
seconde,minuut,0.15,6.25,3.33,0.2,3.33,0.2,3.5,2.5,0.2,0.0,6.25,0.1,0.0,3.33,0.15
hand,duim,7.5,7.5,7.8,9.0,6.0,6.5,7.8,8.5,6.25,7.5,8.5,5.5,8.5,3.5,7.5
hout,stam,3.5,3.85,2.65,2.45,6.25,2.68,3.75,5.2,4.56,3.47,2.75,3.2,3.0,2.5,2.56
modder,vuil,8.5,7.5,8.0,7.5,7.5,8.5,8.5,8.5,8.5,7.5,8.5,8.5,8.5,8.5,8.2
hal,gang,3.2,2.5,2.5,3.45,4.15,2.5,2.36,2.5,5.25,1.2,4.33,2.33,2.87,0.25,3.2
weg,manier,3.65,2.45,3.22,3.87,2.15,1.2,2.45,4.12,2.45,3.56,2.5,2.78,4.23,2.4,2.45
muis,kat,2.5,2.5,4.65,3.25,2.5,3.0,0.2,0.2,2.3,4.5,3.5,2.5,2.5,2.5,2.5
politieagent,sheriff,7.85,5.0,8.2,7.5,7.5,5.24,7.0,7.5,7.8,7.5,7.5,6.4,6.5,7.5,6.8
dood,begrafenis,8.5,8.5,8.7,9.5,8.25,8.5,8.5,8.5,7.5,9.45,8.75,8.75,8.75,9.0,8.5
muziek,melodie,8.5,8.7,8.5,8.5,8.7,8.5,8.5,8.5,8.5,8.6,8.7,8.5,8.6,9.2,8.5
bier,alcohol,8.5,7.5,7.5,8.5,7.8,8.25,8.5,8.75,7.5,6.75,8.75,7.25,8.75,8.75,8.2
mond,lip,8.5,8.5,8.5,8.5,7.5,8.5,8.5,6.5,8.5,8.5,8.5,8.0,8.5,9.0,8.5
storm,orkaan,8.5,9.5,8.5,8.5,8.5,8.5,7.5,9.0,8.5,9.0,9.5,9.0,8.5,8.5,8.5
belasting,inkomen,2.39,3.75,2.65,1.57,1.34,3.87,4.32,3.24,6.32,5.67,2.3,3.25,3.56,3.25,4.32
bloem,viooltjes,7.5,7.5,8.5,7.5,6.25,7.5,6.5,6.25,6.25,6.0,6.5,7.5,7.5,8.5,6.25
papier,karton,7.5,8.5,7.5,8.5,8.5,8.5,8.5,7.5,8.2,8.5,8.5,6.25,6.5,8.0,8.5
vloer,plafond,8.0,9.0,8.5,8.0,9.0,8.0,8.0,8.2,9.0,8.5,8.2,8.5,9.0,9.0,8.6
strand,kust,8.2,7.5,8.5,8.5,8.5,8.5,7.5,7.56,8.5,7.5,8.4,7.5,8.5,8.0,8.5
staaf,gordijn,0.17,0.0,0.0,0.0,0.0,1.43,0.0,0.0,1.2,1.23,0.0,0.02,1.5,0.1,0.0
jachthond,vos,4.12,1.8,2.5,1.5,3.2,0.2,6.25,2.35,0.5,2.56,6.25,1.5,0.43,2.5,2.5
straat,auto,2.4,2.75,2.1,2.5,2.3,2.57,2.5,2.1,0.21,2.56,2.3,2.0,0.2,0.2,2.2
boot,dek,2.46,2.14,3.25,3.57,2.5,2.57,2.5,1.5,2.5,2.5,3.75,1.2,4.5,3.2,3.2
auto,toeter,2.5,0.1,3.0,2.5,4.25,0.0,0.0,3.0,1.2,2.0,0.11,1.2,0.0,2.0,0.0
vriend,gast,3.25,3.4,3.6,3.5,2.5,3.2,2.5,2.5,2.0,3.2,3.2,1.5,2.5,1.5,3.5
werkgever,werknemer,8.6,8.5,8.75,9.2,8.5,8.75,8.5,8.7,8.5,8.5,9.75,8.5,8.5,8.75,8.75
hand,pols,7.5,7.5,7.5,6.5,7.8,7.5,7.5,6.25,7.5,7.5,6.25,8.5,7.5,6.75,7.5
bal,kostuum,0.15,0.0,0.03,0.02,0.0,0.1,0.0,0.1,0.0,0.1,0.23,0.12,0.12,0.0,0.0
alcohol,brandewijn,7.82,8.85,7.5,8.2,8.12,8.15,7.5,8.67,8.5,8.9,8.2,8.4,9.2,7.3,8.2
overwinning,zege,8.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.7,9.5,9.5,9.0
telefoon,cel,2.5,2.5,3.5,2.5,6.75,1.5,2.5,1.2,2.0,3.2,2.5,3.23,2.6,2.5,3.22
deur,ingang,5.5,8.5,8.5,7.5,7.5,6.67,8.0,7.5,7.5,8.5,8.5,6.5,8.5,8.0,7.5
motel,herberg,7.0,7.0,8.0,7.0,7.5,8.25,6.25,6.5,6.5,7.5,6.0,6.25,8.25,7.0,8.2
kleding,stof,5.8,4.2,6.25,7.12,4.5,6.32,3.2,5.83,5.7,6.25,2.5,2.45,6.25,6.75,6.2
steak,vlees,0.83,8.5,7.5,8.5,8.5,7.5,8.5,6.65,8.5,8.5,8.5,8.0,8.5,8.2,7.5
nagel,duim,0.15,1.2,2.5,3.5,1.5,2.5,0.2,1.2,2.0,2.4,1.2,1.5,2.5,1.0,1.5
muziekgroep,orkest,9.2,9.0,8.5,9.0,9.0,8.6,9.5,9.5,9.5,9.0,8.5,9.5,8.5,9.5,9.5
boek,bijbel,7.5,6.8,5.2,6.75,8.5,6.25,7.5,6.5,7.2,8.5,6.75,6.5,6.5,8.2,7.5
bedrijf,industrie,7.5,6.5,7.5,5.36,7.5,6.5,6.5,7.5,7.2,7.5,7.5,7.5,6.2,6.25,7.2
winter,seizoen,6.25,7.0,7.5,7.5,6.25,6.25,7.5,6.0,6.5,7.5,6.5,6.5,5.67,6.25,7.5
decennium,eeuw,8.0,7.5,8.5,7.5,8.5,8.5,7.5,5.0,6.5,7.5,5.0,8.5,8.5,7.5,6.25
alcohol,jenever,8.75,8.2,8.7,8.45,8.5,9.2,8.25,8.54,8.6,9.0,9.57,9.0,8.35,8.75,8.75
hoed,jas,2.5,1.2,1.25,2.25,1.12,1.5,2.5,0.2,2.5,1.5,1.5,2.5,1.25,1.2,2.0
raam,deur,0.2,3.2,2.5,2.0,2.5,2.5,1.2,2.5,2.5,2.5,2.5,2.0,2.5,2.5,0.1
arm,pols,6.25,7.0,6.25,6.25,8.0,6.5,5.0,7.25,5.2,4.55,7.25,6.25,6.2,5.0,7.4
